DAGBANI	ENGLISH
Ashilo piɛlaa, zaŋ kaɣi yi kpaŋa.	A secretely obtained ram, take it aside.
Naa Zɛdikia daa po pɔri ashilo ni Jeremiah sani.	King Zedika swore secrecy to Jeremiah.
Chɛli n daashilɔni taali.	Forgive my secret offence.
Chɛli n taali.	Forgive my wrong.
Ka o ŋmaligi o nyaandoliba maa polo yɛli ba ashilɔni.	And he turned towards his followers and told them a secret. 
Jɔhanan daa sɔɣi yɛli Gɛdalia ashilɔni.	Johana privately told Gedalia a secret.
Gbibi satahinsi ayopɔin maa ni yɛli shɛm maa ashilɔni, ka di sabi li sɔŋ!	Keep what the seven thunders have said secret, and do not write it down.
binshɛɣu din be zimsim ni bee ashilo ni.	something which is in darkness or in secret.
O mali ashiloni biɛm.	He harbours evil thoughts.
Anabi Musa Litaafi Din Pahi Ata.	The third book of Prophet Moses.
a ni tuhi niriba ata soli.	You will meet three people.
Naa Gbewaa bihi ata ban zuliya nyɛ Dagbamba, ŋmamprisi ni Nanumba la.	Naa Gbewaa's three children whose tribes are Dagombas, Mamprusis and Nanumbas.
Damba wari la daba ata laasabu.	Damba is danced for like three days.
O kɔhi o puu atam n-da nahu.	He sold his farm procuce and bought a cow.
Dunia atam biya zaa ka di chɛbu saha paai. Zaŋmi a gɔrigu maa n-tim di ni n-chɛ.	The earth's produce is ripe and time for its harvesting has reached. Bring your sickle and reap.
bɛ lihiri li hali ti kpuɣi puu maa atam ti o, ka puu maa atam kpuɣibu saha daa ti paai.	they looked after it and eventually collected the farm's produce for him, and the time to harvest the farm arrived.
o bo tuntumdiba m-pahi ka bɛ kpuɣi puu atam maa na.	he looked for more workers and they harvested the farm produce.
Puu atam kpuɣibu saha, kachɛɣu piligu ni.	harvesting time, the beginning of the millet.
Palo maa mali tam.	The land is fertile.
Tiŋgbani shɛli din mali anfaani minii tam.	A land that has benefits and is fertile.
N ni deei n daago minii atampa.	I will take my velvets and my silks.
N ni chaŋ m mamanim’ bɛn tiri ma bindirigu minii kom ni ago ni atampanima.	I will to my boyfriends who give me food and water and velvets and silks.
Ataa dee, o daa ka n yiŋa na, yuŋ.	Of truth, he came to my house at night.
Ataade ka o nya ma ka bi puhi ma.	Truthfully, she saw me and did not greet me.
Bɛ zaŋ awa muna ata kahigi bɛ daalahichi wuhi.	They used three full hours to explaine their sins.
Yɛlimi ŋun kpaɣi a tuma ni maa, ka o filim hawa shɛŋa o ni ti a ni a tumdi maa.	Tell the person in charge of your work, and he will reduce the hours he gave you to work.
Di yi niŋ ka paɣa walisi m-paai hawa pinaayi bee pinaanahi.	if it happens that a woman labours for 12 hours or 14 hours.
Waɣisimli biɛla, kaman hawa pirigili saha.	Reduce it a little, like about half of an hour.
Dabisili din pahi awɛi dali, Gidiɔni bia Abidan daa kpuɣi paɣa.	On the ninth day, Gideon's son Abidan took a wife.
Sokam bela awɛi, ni so bi paai pia.	Everyone is at nine, no one has reached ten.
Ninvuɣu kɔbisita ni pihiwɛinaayi n daa be o ba kuli maa ni.	there were three hundred and ninety-two people in his father's funeral.
Nyarimaŋa zuya, ayayoo!	The self-conceited one has stolen, shame.
Judanim’ ni ti niŋ ayɛi, niriba maa ni daa bi tooi sɔŋ ba la zuɣu.	The people of Judah will regret, because the people weren't able to help them.
Samuel Litaafi Din Pahi Ayi.	The second book of Samuel.
bɛ niriba ayi maa daa niŋ nangbani yini.	The two of them united.
Niriba ayi yi mira mia di nyɛla mia chihiŋ.	If two people are make a rope it is broken rope.
Lala dabsa ayi maa nyɛla dabsi timsa afanima zaa sani.	Those two days are special days to all muslim scholars.
Chɛ ka paɣisarili maa na kpalim be ti sani daba ayi kaman biɛɣu pia pahi.	Let the lady still be with us for like ten more days.
Di niŋ dabaayi ka n nya a.	It is been a couple of days since I've seen you.
Zuŋɔ dabaayi ka n nya o.	I saw him two days ago.
O daa kpuɣila paɣiba pishiayika, ka daa mali mamanima pihiyɔbu.	He married eighteen wives, and had sixty concubines.
Bɛ nɛma din nyɛ ayili: Salima minii anzinfa.	Their goods are as follows: Gold and silver.
Bindi nyɛ m-bahi yiriŋ tiri ti ayili: tiri ka nyɛra binsa ni fiiva.	Defecating indisciminately causes the: vomiting and diarrhoea and fever.
Daadam nyari ayodin la bindirigu ni. Ayili zahim minii zama ni naasanjɛra mali ayodin ŋɔ pam.	A human being gets iodine from food. Examples are fish and shellfish which have a lot of iodine.
O niŋ ma ayiinsi.	She was dishonest with me.
Ninvuɣu so ŋun doli anyinsi soli biri shɛli ni ti kpuɣila mbusim.	The person who follows the path of dishonesty to sow something will reap trouble.
Liya daa ti lan niŋ pua n-dɔɣi bidibiga ŋun pahi ayɔbu ti Yaakubu.	Leah again became pregnant and gave birth to a sixth boy for Yakubu.
bɛ daa nyɛla niriba ayɔbu.	they were six people.
Ludubiikam mali la yaɣa ayɔbu.	Every ludu die has six sides.
chira ayɔbu din deei kuli paai ka a pili bindirigu dibu m pahi a ma bihili zuɣu.	If six months elapses then you start eating food in addition to your mother's breast milk.
di ʒɛmi ni bɛ niŋ lala asiba kuriga anii minii zaŋ chaŋ zaawuni kuriga ayɔbu sunsuuni.	They are supposed to do it between eight o'clock in the morning and seven o'clock in the evening.
Zaŋ chaŋ bakɔi ayɔbu nyaaŋa ka bɛ lan ti o tim maa.	After six months then they will give him the medicine again.
bɛ zaŋ o yɔ n-niŋ duu dabsa ayopɔin.	they have locked him up in a room for seven days.
ŋun zaŋmi daba ayopoin niŋ o daɣiri ni yibu dabisa.	he should use seven days as his cleansing days.
Kaman zuŋɔ yuun’ kɔbsiyi ni pihinii ni ayɔpɔin laasabu m-bɔŋɔ (kaman 1713) ka Zabaɣisi minii Dagbamba daa tuhi nimaani.	About two hundred and eighty seven days today (like 1713) was when the Gonjas and the Dagombas fought.
Zaŋ chaŋ dabisili din pahiri ayopɔin dali daa ti yɛn paai.	before the seventh day arrived.
bɛ niriba ayopɔin maa zaa daa kpuɣi o mi.	all the seven of them lifted her.
Kpini gɔli biɛɣu pisi ni ayopɔin dali.	On the seventeenth day of the month Kpini.
A daazali na bi kana ka tim nyuri bara.	Your time has not come and medicine is proud.
Tibiri waayo ku tibi azali.	An efficient healer will not cure what is fated.
Tum azali, nayiɣa nyɛ o.	From the beginning, he has been a thief.
Azaaba din ti yɛn kana.	Punishment that is to come.
Naawuni gum ti ka chɛ azaaba din ti yɛn kana.	May God protect us from the punishment that is to come.
n nyari azaaba pam buɣim ŋɔ ni.	I am facing a lot of punishment in this fire.
Yinima bahiyolinima ŋɔ, wariya ti kpe azaaba buɣim.	You accursed ones, spread out and go and enter the fire of hell.
bɛ daa zaŋ Ijiptinima maa daarzichi pam pahi chaŋ.	They took most of the wealth of the Egyptians and went with it.
o kpaŋsi yi suhuri o jilima arzichitali puuni.	He has strengthened your hearts out of his gloriousness.
Lala ka arzichilana gba ni ti kpaai o tuma tumbu puuni.	In the same way the rich will also fade in the midst of his work.
Ti tɔŋya; ti nyɛla arzichilaannima ka bi lan bɔri shɛli.	We have prospered; we are rich people and we no longer want anything.
di chɛ ka yi shiri niŋ arzichinima.	this will really make you wealthy.
Aʒi bi kaɣindi nira ni o tuma.	Being a pilgrim to Mecca does not hinder you from your deeds.
O d'aʒia be n sani.	Her goods are with me.
Aa, niriba maa yɔrila vuri.	Ah, the people are making noise.
Aa! bɔzuɣu ka a niŋ lala?	Ah! why did you do that?
Bɛ niŋdi aadalisi.	They are acting justly.
Chɛliya ka yi “Iin” kuli nyɛla “Iin”, ka yi “Aayi” mi kuli nyɛla “Aayi”.	Let your "Yes" just be "Yes" and your "No" just be "No".
bɛ yɛli o, “Aayi, ti ku ku a."	They told her, "No, we will not kill you."
“Bɔhimi maligumaana m-baŋ." Ka Maligumaana maa garigi yɛli, “Aayi.”	"Ask the earthpriest to know." And the earthpriest responded, "No."
Aayi, O ku gbaai doro.	No, she will not catch a sickness.
Aayi, ka Ghana kɔ yɛla m-bala.	No, it isn't only Ghana's problem.
n daa nya do’ so ʒii puuni yuŋ ka o bari wɔri ʒiɛɣu.	I saw a man in a night-vision and he was riding a red horse.
Yɛntɔri daa shinimi ka yuŋ ti surigi zaa ka o yina n-kpe zɔŋ ni nti lɔrigi wahu m-ba n-zo.	Yentori waited untill night fell completely, then he went out to the stable and untied a horse and rode it away.
M baya.	I have taken my seat.
bɛ ba ba bandi ʒili.	they put them in fetters and sat them down.
Bɛ ba o bandi.	They have shackled her and sat her down.
bamiya zani kaman dɔbba la n-tuhi ba.	Stand firm like men and fight them.
o ni chɛ ka yi suhuri ba n-zani.	He will let your hearts stand firm.
Di nyɛla din kuli ba n-ʒe alizanda ni sahakam.	It is something which stands firm in heaven always.
Ti ni mali tahima shɛli ŋɔ nyɛla din bari ti suhuri zaana.	The hope we have is what makes our hearts stand firm.
di zaɣi kpi, di ni dii bi ba jila viɛnyɛliŋga zuɣu.	It has withered, because it hadn't put down roots well.
Naawuni yɛligu bi ba jila bɛ suhuri ni viɛnyɛliŋga.	God's speech has not rooted well in their hearts.
ti’ shɛli din nyaɣa ba tiŋa.	a tree that has rooted firmly to the ground.
Ti Duuma n-chɛ ka ti naba bari zaana.	It is the Lord who makes our legs stand firm.
Ti Duuma ni guli ba ka ba bɛ nyɛviya zali.	The Lord will protect them and preserve their lives.
man zaŋ n zuɣu ba tiŋa suhiri Naawuni.	I have bowed down my head praying to God.
saa ni yi nyaɣisi di pilibu shee m-mali ti ba di naabu shee.	When lightning strikes from its starting point to its ending point.
Abu paɣa ba daaŋa.	Abu's wife has done her first cooking for the household.
Abu ba o paɣa ŋmani.	Abu has prepared towards his wife bringing forth her first child.
O ba o duu maa.	He put a charm on his room.
O ba bara maa.	He put a charm on the sick.
doo ŋmaligiri o ba minii o ma sani.	a man turns from his father and mother.
A kpee ba teeŋa yi taai buɣim, a mahigirila a ba dini kom.	If your colleagues father's beard catches fire, you wet you father's own with water.
Bidibiga tiri o ba jilima, ka dabili mi tiri o dan’ jilima.	A son respects his father, and a slave too respects his master.
M ba, nyama a binyɛrigu naŋgbambili n nuu ni.	My father, see the hem of your shirt in my hand.
‘M bia, Naawuni niŋmi alibarika niŋ a ni!	My child, May God bless you.
o leei Jɛrusalɛmnima minii Judanima ba.	He has become the father of the people of Jerusalem and the people of Judah.
ni o nya o ni yɛn boli ba yu’ shɛŋa.	to see which names to call them by.
Bachibihi ka Naawuni daa zaŋ sabi o fukumsi zaligu la pa kuɣiparilana zuɣu.	It was letters that God used to write his laws the slabs of stone.
zuɣusaa minii dunia ŋɔ ni ti yiɣisi, amaa Naawuni fukumsi zaligunim’ ŋɔ ni sabbu bachibi’ fifinyiiŋa gba ku yiɣisi.	heaven and earth will disappear, but not the smallest letter will by any means disappear from the Law.
Yi ni so miri ka o ti buɣiri baɣa bee n-nyɛ bɔha bee bukpaha.	None of you should ever consult a diviner or be a diviner or be a wizard.
N ni ti yihi bukpahigu yi kɔbili ni, ka baɣisi ti ku lan beni.	I will eventually eliminate divination from among you, and soothsayers will cease to exist.
Baɣa bee mali yum, baɣa lɛbili n-che.	A diviners leg has a sore, it is the diviner's hatchet that cut.
Baɣa tooi buɣira, bɔ n-ku baɣa bia?	A diviner to divine, but what killed the diviners child?
Baɣa yi buɣi a, a gba buɣirila a toli.	If a diviner divines you, you also divine yourself.
o daa buɣiri baɣisi, ka chani bukpahinima minii  jinwariba sani.	She used to practice divination, and went to wizards and psychics.
Di ti bɔhimya baɣitali bee sotali.	Do not ever learn divination or witchcraft.
bɛ ku lan di o baɣibuɣibo maa nyɔri.	they will no longer benefit from his divination.
Bɛ ni daa wum ni Ti Duuma baɣa be Izraɛlnim’ ni.	When they heard that the Lord had concern for the people of Israel.
ban baɣa daa ka Ti Duuma yɛligu maa ni.	Those who did not pay attention to the Lord's word.
Di bi simsi ka a nya a mabia nahu bee o piɛɣu ni chaŋ yirigi ka a baɣa ka o ni.	It is not befitting that you should see you colleagues cow or sheep wandering about and you have no conern for it.
Bɛ tibirila n niriba maa daŋa ka bɛ baɣa ka tibbu.	They are treating my people's wounds and they are not concerned about the treatment.
Firawuna daa ŋmaligi kuli o yiŋa, ka zaŋ li niŋ o baɣaka.	Pharoah turned and went home, and payed no heed to it.
Bɛnkam zaŋ bɛ ni wuhi ba shɛli niŋ bɛ baɣaka ʒiɛmdila bɛmaŋa.	All those who treat what they've taught them with no importance underestimate themselves.
Tandɔɣu baɣa ni zoma.	What concern does the swish pit have for the blind person.
Suhuyini baɣa ni andunia garibu.	What concern does the single-hearted person have for the worries of the world.
Suhuyini baɣa ni andunia garigu.	The single hearted person does not care about the worries of the world.
Bua maa yila baɣili.	The goat is pregnant.
Nahu maa yila baɣili.	The cow is pregnant.
Wahu maa malila baɣili.	The horse has started gestation.
Baɣabaɣa laɣim kɔbiga ku ŋmani paaŋa.	A hundred ants gathered together will not resemble a monkey.
Baɣayuli yi guhi ʒim je, di nyimsirila baɣayulilana.	If a shrine waits too long for blood, it warns its owner.
Di saha o paani daa ʒimi baɣi o.	At that time his queen was sitting beside him.
O bin baɣila naa difeli.	His thing is beside the chief's pillow.
ti daa kpaŋ timaŋa ni ti lo ŋarin bila din daa baɣi ŋarin titali maa tabili taba.	we tried our best to tie the small boat that was beside the big boat together.
O baɣila vari.	She is menstruating.
O yɛn' baɣila ti yiŋa.	He is going to skulk round our house.
Di baɣi ma.	It is beside me.
Nira yi niŋ kuɣa gari o kaŋubira puuni, o jira n-yɛn baɣi.	if a person puts stones in his maize, it is his own jaws that will get tired.
O ŋubi kawana ka o nyina baɣi.	She ate maize and her teeth became weary.
O chaŋmi hali ka o naba baɣi.	She walked till her legs became weary.
O baɣi nanzua maa.	He fenced the peppers.
Bɛ ti ku lan mali wuni bee baɣibihi.	they will no longer have gods or idols.
dabeenzɔriba minii ban ka yɛda ni halibiɛrinima ni ninvuɣukuriba ni zinniŋdiba ni baɣibuɣiriba ni buɣijɛmdiba ni ʒiŋmariba zaa be Naawui sujee ni.	cowards and the faithless and wicked and murderers and sexually immoral people and soothsayers and idolaters and liars are all under God's wrath.
A ni tooi kali bɛ ni dandi bɛ baɣa chira shɛm tariga?	Can you determine the duration of their gestation?
Naawuni chɛ ka ti niɣi kpe baɣa pam.	May God let our cows produce plentifully.
Baɣilim ma ka ti chaŋ.	Give me a lift and let's go.
O zaŋ o nyuli baɣili buɣim ni.	He has put his yam beside the fire.
Zaŋmiya zaligu kundi ŋɔ ti sɔŋ baɣili Ti Duuma daalikauli adaka la.	Take this law book and put it down near the Lords covenant box.
Naa daa ʒini la o ʒiishee ka Abinɛr mi ʒini baɣili Saul.	The king sat in his place and Abner sat beside Saul.
N sa ni doli m ba kana nti zani baɣili o a ni sɔɣi luɣu shɛli maa.	I will follow my father here tomorrow and stand with him beside where you are hiding.
Zaligu kurili la leela din daai baɣili kpaŋa.	the old law became obsolete.
M bi daai Naawuni daalibarika baɣili.	I have not put aside God's blessings.
A yi ti nya bua baɣili daa ni, yɛla baɣili m-be yiŋa.	If you see a gestation goat in the market, there are pregnant troubles at home.
Baɣimpiŋ nini yi zaɣisira, di yɛn doomi.	If the coucal's eyes itches, it will break open.
A yi tɔhi baɣiŋga mihi ni a lo firigima nyini ka di yɛn wum.	If you strip fibre from the fibre plant to tie up yam mounds you will become tired.
Zuɣusuŋlana mia lɔɣu chirila baɣiŋga gbinni.	The quiver of the lucky person breaks under the fibre plant.
Kpalisɔɣu yi biɛra baɣaŋgu n-tibiri o.	If the Kpalisɔɣu tree is sick, it is the fibre that heals it.
O vooi ma yihi barina bɔɣ’ zilinli ni na, ka firigi ma baɣiri ni.
Jeremiah daa firi baɣiri maa ni.	Jermiah got stuck in the mud.
di ni ti ŋmanila ʒiri baɣiri.	it will be like false divination.
o ŋmaligi tahi kpilikpariga ŋun daa sɔŋdi bipuɣiŋga maa ka o buɣiri baɣiri maa zuɣu.	he turned and rebuked the fairy who was helping the girl to practive divination.
